"","model","alteration","n"
"164","BioMed LM","TERT p.R859Q",6
"165","BioMed LM","TGFA RNA overexpression",6
"166","BioMed LM","TMEM111-TDRD3 fusion",4
"167","BioMed LM","TP53 c.672+1G>A",3
"168","BioMed LM","TP53 p.305fs",5
"169","BioMed LM","TP53 p.A138_Q144del",4
"170","BioMed LM","TP53 p.A276G",6
"171","BioMed LM","TP53 p.E258*",5
"172","BioMed LM","TP53 p.T211A",5
"173","BioMed LM","TRAF1 p.R70H",5
"174","BioMed LM","ZFHX3 p.F2994L",4
"175",NA,"ATM p.E1666*",1
"176",NA,"BCORL p.R1332*",2
"177",NA,"BRCA2 p.K3326*",3
"178",NA,"CDKN1B p.K100N",1
"179",NA,"EGFR p.C797S",1
"180",NA,"EGFR p.E746_A750del",5
"181",NA,"ERBB2 RNA overexpression",4
"182",NA,"ERBB3 RNA overexpression",2
"183",NA,"FGFR2::BICC1 Fusion",3
"184",NA,"FGFR3 RNA Overexpression",1
"185",NA,"FGFR3 p.D786N",3
"186",NA,"HRAS p.Q61R",1
"187",NA,"JAK1 p.I597M",2
"188",NA,"KRAS p.G12C",2
"189",NA,"KRAS p.G12V",2
"190",NA,"KRAS p.G13D",3
"191",NA,"MAP3K1 p.T949_E950insT",2
"192",NA,"MAPK1 p.E322K",2
"193",NA,"MET RNA overexpression",2
"194",NA,"MET amplification",4
"195",NA,"MUTYH amplification (n>6)",3
"196",NA,"MYC amplification (n>6)",1
"197",NA,"NF1 p.I1605fs",1
"198",NA,"PDGFRB RNA Overexpression",1
"199",NA,"PIK3CA amplification (n>6)",5
"200",NA,"PIK3CA p.E545K",2
"201",NA,"RB1 p.Q846*",1
"202",NA,"SMAD4 p.C363R",3
"203",NA,"TP53 c.672+1G>A",1
"204",NA,"TP53 p.A138_Q144del",1
"205",NA,"TP53 p.A276G",1
"206",NA,"TP53 p.E258*",1
"207",NA,"TP53 p.T211A",1
"208",NA,"Unspecified",5
"209",NA,NA,1
